Date,Is returning customer,Gross sales,Discounts,Returns,Net sales,Shipping,Tax,Duties,Total sales,Orders,Customer count,Ordered quantity,Returned quantity,Net quantity,Units per transaction,Avg. order value,Cost of goods sold,Gross profit,Items,Avg. number of items
2024-01-24,TRUE,625.8,16.77,0,609.03,133.2,4.62,0,746.85,14,14,26,0,26,1.86,43.5,122.63,486.4,,
2024-01-25,FALSE,136,20.4,0,115.6,8.07,0,0,123.67,1,1,7,0,7,7,115.6,36.52,79.08,,
2024-01-25,TRUE,344,19.74,0,324.26,42.81,0,0,367.07,5,5,16,0,16,3.2,64.85,68.41,255.85,,
2024-01-26,FALSE,309.5,0,0,309.5,0,0,0,309.5,9,9,23,0,23,2.56,34.39,95.76,213.74,,
2024-01-26,TRUE,4143.5,363.64,0,3779.86,62.77,0,0,3842.63,85,81,219,0,219,2.58,44.47,985.51,2794.35,,
2024-01-27,TRUE,189.75,8.93,0,180.82,24.23,0,0,205.05,3,3,9,0,9,3,60.27,69.13,111.69,,
2024-01-28,FALSE,130.5,11.47,0,119.03,21.89,0,0,140.92,2,2,3,0,3,1.5,59.52,47.91,71.12,,
2024-01-28,TRUE,203.5,0,0,203.5,24.03,0,0,227.53,5,5,10,0,10,2,40.7,55.5,148,,
2024-01-29,FALSE,66,0,0,66,7.98,0,0,73.98,5,5,7,0,7,1.4,13.2,11.82,54.18,,
2024-01-29,TRUE,343,8.05,0,334.95,47.96,0,0,382.91,5,5,12,0,12,2.4,66.99,141.42,193.53,,
2024-01-30,FALSE,37.5,0,0,37.5,8.24,0,0,45.74,1,1,3,0,3,3,37.5,10.73,26.77,,
2024-01-30,TRUE,287.75,12.6,0,275.15,63.26,0,0,338.41,7,7,13,0,13,1.86,39.31,83.25,191.9,,
2024-01-31,FALSE,96,96,0,0,0,0,0,0,5,5,5,0,5,1,0,40,-40,,
2024-01-31,TRUE,257,8.8,0,248.2,41.06,0,0,289.26,7,7,18,0,18,2.57,35.46,41.45,206.75,,
2024-02-01,FALSE,37.5,0,0,37.5,7.98,0,0,45.48,1,1,3,0,3,3,37.5,11.55,25.95,,
2024-02-01,TRUE,974.5,15.54,0,958.96,211.12,0,0,1170.08,22,18,48,0,48,2.18,43.59,173.88,785.08,,
2024-02-02,FALSE,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,,0,,
2024-02-02,TRUE,286.9,15,22.5,249.4,46.68,0,0,296.08,6,6,12,1,11,2,45.32,62.56,186.84,,
2024-02-03,FALSE,156.5,6.25,0,150.25,23.56,0,0,173.81,2,2,7,0,7,3.5,75.13,57.5,92.75,,
2024-02-03,TRUE,212.5,0,0,212.5,33.81,0,0,246.31,4,4,6,0,6,1.5,53.13,60.13,152.37,,
2024-02-04,FALSE,73.5,3.75,0,69.75,16,0,0,85.75,2,2,4,0,4,2,34.88,24.28,45.47,,
2024-02-04,TRUE,572.75,33.03,58,481.72,89.8,0,0,571.52,11,11,26,2,24,2.36,49.07,189.96,291.76,,
2024-02-05,FALSE,265.5,14.1,0,251.4,40.43,0,0,291.83,4,4,6,0,6,1.5,62.85,72.91,178.49,,
2024-02-05,TRUE,527.8,9.7,0,518.1,120.36,0,0,638.46,15,15,39,0,39,2.6,34.54,164.43,353.67,,
2024-02-06,FALSE,78.5,5.6,0,72.9,8.16,0,0,81.06,1,1,5,0,5,5,72.9,6.59,66.31,,
2024-02-06,TRUE,412.3,0,0,412.3,51.92,0,0,464.22,8,8,19,0,19,2.38,51.54,158.27,254.03,,
2024-02-07,FALSE,106,21.2,0,84.8,7.98,0,0,92.78,1,1,5,0,5,5,84.8,68.04,16.76,,
2024-02-07,TRUE,172,33.3,0,138.7,38.27,0,0,176.97,5,5,12,0,12,2.4,27.74,31.31,107.39,,
2024-02-08,FALSE,100.5,12.1,0,88.4,26.08,0,0,114.48,3,3,5,0,5,1.67,29.47,43.17,45.23,,
2024-02-08,TRUE,221.4,8.8,0,212.6,48.83,0,0,261.43,5,5,15,0,15,3,42.52,96.63,115.97,,
2024-02-09,TRUE,269.5,14.5,17.6,237.4,70.35,0,0,307.75,9,9,16,0,16,1.78,28.33,99.82,137.58,,
2024-02-10,FALSE,166.5,14.15,0,152.35,23.99,2.9,0,179.24,3,3,12,0,12,4,50.78,42.37,109.98,,
2024-02-10,TRUE,244.25,22,0,222.25,60.53,0,0,282.78,6,6,9,0,9,1.5,37.04,54.79,167.46,,
2024-02-11,FALSE,486,6.25,0,479.75,15.96,0,0,495.71,16,2,20,0,20,1.25,29.98,20.55,459.2,,
2024-02-11,TRUE,227.3,90,0,137.3,35.21,0,0,172.51,5,5,10,0,10,2,27.46,83.39,53.91,,
2024-02-12,TRUE,233.1,0,0,233.1,33.57,0,0,266.67,4,4,6,0,6,1.5,58.28,63.47,169.63,,
2024-02-13,FALSE,1414.5,1233.2,0,181.3,38.05,0,0,219.35,5,5,68,0,68,13.6,36.26,59.13,122.17,,
2024-02-13,TRUE,84.5,4.37,0,80.13,16.01,0,0,96.14,3,3,3,0,3,1,26.71,19.09,61.04,,
2024-02-14,FALSE,-200,-200,0,0,0,0,0,0,1,1,6,16,-10,6,0,0,0,,
2024-02-14,TRUE,522,89.12,0,432.88,88.76,0,0,521.64,10,9,30,0,30,3,43.29,137.27,295.61,,
2024-02-15,FALSE,110,22,21.26,66.74,8.07,0,0,74.81,1,1,5,2,3,5,88,55.45,11.29,,
2024-02-15,TRUE,108,4.37,0,103.63,41.07,0,0,144.7,4,4,6,0,6,1.5,25.91,30.8,72.83,,
2024-02-16,FALSE,215,173.75,0,41.25,16.11,0,0,57.36,5,5,10,0,10,2,8.25,110.03,-68.78,,
2024-02-16,TRUE,403,74.74,0,328.26,125.17,0,0,453.43,15,8,28,0,28,1.87,21.88,120.08,208.18,,
2024-02-17,FALSE,25,2.5,0,22.5,7.98,0,0,30.48,1,1,2,0,2,2,22.5,7.73,14.77,,
2024-02-17,TRUE,763.5,112.65,0,650.85,30.22,0,0,681.07,3,3,37,0,37,12.33,216.95,31.82,619.03,,
2024-02-18,FALSE,212,8.15,0,203.85,24.16,0,0,228.01,3,3,8,0,8,2.67,67.95,96.27,107.58,,
2024-02-18,TRUE,610.05,22.49,12.5,575.06,146.11,0,0,721.17,16,15,40,1,39,2.5,36.72,242.92,332.14,,
2024-02-19,FALSE,151.5,4.9,0,146.6,34.24,0,0,180.84,4,4,8,0,8,2,36.65,79.54,67.06,,
2024-02-19,TRUE,50,0,0,50,17.19,0,0,67.19,2,2,4,0,4,2,25,15.67,34.33,,
2024-02-20,FALSE,319,192,0,127,22.37,0,0,149.37,4,4,10,0,10,2.5,31.75,118.39,8.61,,
2024-02-20,TRUE,385.75,30.09,0,355.66,73.53,0,0,429.19,9,9,18,0,18,2,39.52,123.3,232.36,,
2024-02-21,FALSE,52,29.05,0,22.95,7.94,2.68,0,33.57,2,2,3,0,3,1.5,11.48,7.82,15.13,,
2024-02-21,TRUE,193.5,19.6,22.5,151.4,32.01,2.86,0,186.27,8,6,15,2,13,1.88,21.74,46.79,104.61,,
2024-02-22,FALSE,143,143,0,0,0,0,0,0,2,2,3,0,3,1.5,0,40,-40,,
2024-02-22,TRUE,197,31.9,0,165.1,35.79,0,0,200.89,4,4,10,0,10,2.5,41.28,48.52,116.58,,
2024-02-23,FALSE,175.5,2.5,0,173,32.05,2.67,0,207.72,4,4,11,0,11,2.75,43.25,48.27,124.73,,
2024-02-23,TRUE,81.5,13.17,0,68.33,23.95,0,0,92.28,5,5,7,0,7,1.4,13.67,11.73,56.6,,
2024-02-24,FALSE,176,11,0,165,24.12,0,0,189.12,3,3,6,0,6,2,55,54.23,110.77,,
2024-02-24,TRUE,879.5,27.42,0,852.08,164.29,0,0,1016.37,19,19,49,0,49,2.58,44.85,96.93,755.15,,
2024-02-25,FALSE,282,32.5,0,249.5,8.02,0,0,257.52,11,3,20,0,20,1.82,22.68,65.98,183.52,,
2024-02-25,TRUE,444.5,43.6,0,400.9,87.7,0,0,488.6,11,11,24,0,24,2.18,36.45,54.35,346.55,,
2024-02-26,FALSE,174,39.5,0,134.5,26.58,0,0,161.08,4,4,12,0,12,3,33.63,39.28,95.22,,
2024-02-26,TRUE,418.8,2.2,0,416.6,81.98,0,0,498.58,10,10,20,0,20,2,41.66,52.76,363.84,,
2024-02-27,FALSE,194,9.35,0,184.65,43.51,3.11,0,231.27,5,5,11,0,11,2.2,36.93,59.41,125.24,,
2024-02-27,TRUE,202.5,42.2,0,160.3,52.59,0,0,212.89,5,5,13,0,13,2.6,32.06,62.9,97.4,,
2024-02-28,FALSE,47,0,0,47,7.98,0,0,54.98,2,2,4,0,4,2,23.5,8.85,38.15,,
2024-02-28,TRUE,263.7,6.57,0,257.13,58.44,0,0,315.57,10,9,14,0,14,1.4,25.71,49.46,207.67,,
2024-02-29,FALSE,133.5,12.17,0,121.33,39.34,0,0,160.67,4,4,7,0,7,1.75,30.33,22.97,98.36,,
2024-02-29,TRUE,702.9,93.75,0,609.15,153.71,0,0,762.86,16,16,36,0,36,2.25,38.07,261,348.15,,
2024-03-01,FALSE,71.3,5,0,66.3,16.01,0,0,82.31,2,2,5,0,5,2.5,33.15,34.44,31.86,,
2024-03-01,TRUE,312,85.05,0,226.95,151.45,0,0,378.4,14,4,17,0,17,1.21,16.21,144.05,82.9,,
2024-03-02,FALSE,96,9.6,0,86.4,8.07,0,0,94.47,1,1,1,0,1,1,86.4,40,46.4,,
2024-03-02,TRUE,219.5,24.17,0,195.33,55.2,0,0,250.53,6,3,13,0,13,2.17,32.56,70.69,124.64,,
2024-03-03,FALSE,25,2.5,0,22.5,7.98,0,0,30.48,1,1,2,0,2,2,22.5,7.91,14.59,,
2024-03-03,TRUE,148.8,0,0,148.8,35.39,0,0,184.19,4,4,6,0,6,1.5,37.2,51.38,97.42,,
2024-03-04,FALSE,86,6.1,0,79.9,19.26,0,0,99.16,3,3,6,1,5,2,26.63,27.94,51.96,,
2024-03-04,TRUE,140.5,12.07,0,128.43,59.17,0,0,187.6,6,6,8,0,8,1.33,21.41,60.02,68.41,,
2024-03-05,FALSE,81.5,0,0,81.5,16.05,0,0,97.55,2,2,5,0,5,2.5,40.75,23.06,58.44,,
2024-03-05,TRUE,259,24.6,0,234.4,58.81,0,0,293.21,7,6,12,0,12,1.71,33.49,124.57,109.83,,
2024-03-06,FALSE,36,0,0,36,7.98,0,0,43.98,1,1,1,0,1,1,36,11.34,24.66,,
2024-03-06,TRUE,262.8,13.17,0,249.63,48.25,0,0,297.88,7,7,15,0,15,2.14,35.66,60.76,188.87,,
2024-03-07,FALSE,249,29.5,0,219.5,41.63,0,0,261.13,4,4,10,0,10,2.5,54.88,52,167.5,,
2024-03-07,TRUE,1565.5,264.97,0,1300.53,244.54,0,0,1545.07,27,25,93,0,93,3.44,48.17,363.63,936.9,,
2024-03-08,FALSE,101.5,50.3,0,51.2,15.96,0,0,67.16,3,3,8,0,8,2.67,17.07,30.38,20.82,,
2024-03-08,TRUE,902.9,131.07,0,771.83,157.68,0,0,929.51,18,18,55,0,55,3.06,42.88,181.72,590.11,,
2024-03-09,FALSE,171,24.4,0,146.6,33.2,0,0,179.8,4,4,11,0,11,2.75,36.65,61.12,85.48,,
2024-03-09,TRUE,486.5,62.3,0,424.2,97.21,2.8,0,524.21,11,11,32,0,32,2.91,38.56,85.28,338.92,,
2024-03-10,FALSE,176,0,0,176,0,0,0,176,8,,8,0,8,1,22,,176,,
2024-03-10,TRUE,284.25,37.7,0,246.55,81.09,0,0,327.64,10,10,17,0,17,1.7,24.66,59.92,186.63,,
2024-03-11,FALSE,50,0,0,50,7.93,0,0,57.93,1,1,4,0,4,4,50,15.12,34.88,,
2024-03-11,TRUE,169.8,0,0,169.8,48.21,0,0,218.01,6,5,9,0,9,1.5,28.3,97.49,72.31,,
2024-03-12,FALSE,66,0,0,66,17.78,0,0,83.78,1,1,1,0,1,1,66,20,46,,
2024-03-12,TRUE,439.1,42.42,0,396.68,71.97,0,0,468.65,8,8,21,0,21,2.63,49.59,119.54,277.14,,
2024-03-13,FALSE,75,75,0,0,0,0,0,0,1,1,6,0,6,6,0,24.3,-24.3,,
2024-03-13,TRUE,347,142.65,0,204.35,24.16,0,0,228.51,8,8,21,0,21,2.63,25.54,90.17,114.18,,
2024-03-14,FALSE,22,22,0,0,0,0,0,0,1,1,1,0,1,1,0,5,-5,,
2024-03-14,TRUE,250,33.6,0,216.4,53.11,0,0,269.51,7,7,12,0,12,1.71,30.91,65.63,150.77,,
2024-03-15,FALSE,236.5,17.7,0,218.8,48.56,0,0,267.36,5,5,12,0,12,2.4,43.76,42.21,176.59,,
2024-03-15,TRUE,1176.1,52.54,0,1123.56,214.43,0,0,1337.99,24,23,64,0,64,2.67,46.82,260.03,863.53,,
2024-03-16,FALSE,131.5,1.25,0,130.25,20.93,0,0,151.18,3,3,9,0,9,3,43.42,15.76,114.49,,
2024-03-16,TRUE,94.5,7.5,0,87,28.46,0,0,115.46,4,4,6,0,6,1.5,21.75,22.08,64.92,,
2024-03-17,FALSE,144,30.38,0,113.62,13.74,0,0,127.36,3,3,10,0,10,3.33,37.87,45.29,68.33,,
2024-03-17,TRUE,1114.5,33.44,0,1081.06,147.65,0,0,1228.71,18,17,67,0,67,3.72,60.06,151.88,929.18,,
2024-03-18,FALSE,411.5,50,0,361.5,41.32,0,0,402.82,5,5,21,0,21,4.2,72.3,130.16,231.34,,
2024-03-18,TRUE,578,36.37,0,541.63,85.17,0,0,626.8,12,12,22,0,22,1.83,45.14,239.76,301.87,,
2024-03-19,FALSE,120.5,12.2,0,108.3,20.94,0,0,129.24,3,3,8,0,8,2.67,36.1,30.12,78.18,,
2024-03-19,TRUE,214.4,32.4,0,182,15.25,0,0,197.25,5,5,11,0,11,2.2,36.4,85.81,96.19,,
2024-03-20,FALSE,91.5,0,0,91.5,14.04,0,0,105.54,2,2,6,0,6,3,45.75,3.94,87.56,,
2024-03-20,TRUE,287,15.4,0,271.6,20.92,0,0,292.52,6,6,13,0,13,2.17,45.27,126,145.6,,
2024-03-21,FALSE,0,0,0,0,8.65,0,0,8.65,2,2,2,0,2,1,0,,0,,
2024-03-21,TRUE,84.5,5,0,79.5,14.52,0,0,94.02,2,2,6,0,6,3,39.75,15.64,63.86,,
2024-03-22,FALSE,399.5,36,0,363.5,31.27,0,0,394.77,10,10,22,0,22,2.2,36.35,112.2,251.3,,
2024-03-22,TRUE,1804.25,63.52,0,1740.73,42.96,0,0,1783.69,48,46,112,0,112,2.33,36.27,485.88,1254.85,,
2024-03-23,FALSE,91,6.6,0,84.4,7.27,0,0,91.67,2,2,5,0,5,2.5,42.2,42.21,42.19,,
2024-03-23,TRUE,1108.25,3.45,0,1104.8,25.79,0,0,1130.59,27,27,61,0,61,2.26,40.92,343.89,760.91,,
2024-03-24,FALSE,324,0,0,324,0,0,0,324,12,,13,0,13,1.08,27,,324,,
2024-03-24,TRUE,91,0,0,91,14.4,0,0,105.4,2,2,5,0,5,2.5,45.5,75.74,15.26,,
2024-03-25,TRUE,216.2,0,0,216.2,40.86,0,0,257.06,5,5,6,0,6,1.2,43.24,76.19,140.01,,
2024-03-26,FALSE,25,2.5,0,22.5,9.08,0,0,31.58,2,2,3,0,3,1.5,11.25,7.73,14.77,,
2024-03-26,TRUE,736.8,131.35,0,605.45,93.15,0,0,698.6,19,18,45,0,45,2.37,31.87,201.52,403.93,,
2024-03-27,FALSE,271.5,81.4,0,190.1,30.39,0,0,220.49,5,5,14,0,14,2.8,38.02,66.75,123.35,,
2024-03-27,TRUE,227.5,11.99,0,215.51,38.6,0,0,254.11,8,7,12,0,12,1.5,26.94,84.31,131.2,,
2024-03-28,FALSE,25,0,0,25,7.26,0,0,32.26,1,1,2,0,2,2,25,7.91,17.09,,
2024-03-28,TRUE,436,40,0,396,79.82,0,0,475.82,13,13,36,0,36,2.77,30.46,124.39,271.61,,
2024-03-29,FALSE,91,15.7,0,75.3,18.28,0,0,93.58,2,2,3,0,3,1.5,37.65,28.94,46.36,,
2024-03-29,TRUE,203.7,0,0,203.7,22.93,1.74,0,228.37,3,3,7,0,7,2.33,67.9,49.21,154.49,,
2024-03-30,FALSE,36,3.6,0,32.4,7.26,0,0,39.66,1,1,1,0,1,1,32.4,11.34,21.06,,
2024-03-30,TRUE,324.5,24,0,300.5,44.53,0,0,345.03,6,5,20,0,20,3.33,50.08,71.6,228.9,,
2024-03-31,FALSE,110.5,14.8,0,95.7,19.76,0,0,115.46,3,3,7,0,7,2.33,31.9,20.45,75.25,,
2024-03-31,TRUE,2073.3,149.93,0,1923.37,514.59,0,0,2437.96,63,58,117,0,117,1.86,30.53,635.5,1287.87,,
2024-04-01,FALSE,66,0,0,66,12.22,0,0,78.22,1,1,1,0,1,1,66,20,46,,
2024-04-01,TRUE,1383,102.61,55,1225.39,275.22,0,0,1500.61,36,36,88,5,83,2.44,35.57,425.58,799.81,,
2024-04-02,FALSE,122,53.75,0,68.25,18.43,0,0,86.68,3,3,9,0,9,3,22.75,36.58,31.67,,
2024-04-02,TRUE,568.8,27.08,0,541.72,102.83,0,0,644.55,14,14,39,0,39,2.79,38.69,188.94,352.78,,
2024-04-03,TRUE,579.5,21.88,0,557.62,96.64,0.82,0,655.08,16,15,41,0,41,2.56,34.85,185.78,371.84,,
2024-04-04,FALSE,159,15.27,0,143.73,30.64,0,0,174.37,4,4,10,0,10,2.5,35.93,42.34,101.39,,
2024-04-04,TRUE,580.75,20.25,0,560.5,105.67,0,0,666.17,14,13,35,0,35,2.5,40.04,169.82,390.68,,
2024-04-05,FALSE,163,0,0,163,34.54,0,0,197.54,4,4,11,0,11,2.75,40.75,62.66,100.34,,
2024-04-05,TRUE,419,32.97,0,386.03,51.61,0,0,437.64,7,7,17,0,17,2.43,55.15,248.42,137.61,,
2024-04-06,FALSE,168,26.4,0,141.6,14.03,0,0,155.63,2,2,5,0,5,2.5,70.8,34.44,107.16,,
2024-04-06,TRUE,230,11.9,0,218.1,35.24,0,0,253.34,6,6,11,0,11,1.83,36.35,63.32,154.78,,
2024-04-07,FALSE,115,3.75,0,111.25,21.79,0,0,133.04,4,4,9,0,9,2.25,27.81,36.64,74.61,,
2024-04-07,TRUE,259.4,0,0,259.4,68.89,0,0,328.29,11,9,21,0,21,1.91,23.58,87.43,171.97,,
2024-04-08,FALSE,327,73.85,0,253.15,30.64,0,0,283.79,5,5,11,0,11,2.2,50.63,103.13,150.02,,
2024-04-08,TRUE,298,0,0,298,36.07,0,0,334.07,4,4,15,0,15,3.75,74.5,98.7,199.3,,
2024-04-09,FALSE,75,37.5,0,37.5,7.26,0,0,44.76,2,2,6,0,6,3,18.75,24.04,13.46,,
2024-04-09,TRUE,988.8,44.11,0,944.69,246.44,0,0,1191.13,31,31,54,0,54,1.74,30.47,352.88,591.81,,
2024-04-10,FALSE,126,9.1,0,116.9,22.5,0,0,139.4,3,3,7,0,7,2.33,38.97,42.73,74.17,,
2024-04-10,TRUE,692.9,59.07,38.15,595.68,106.55,0,0,702.23,15,15,41,1,40,2.73,42.26,200.6,395.08,,
2024-04-11,FALSE,111,8.6,0,102.4,26.69,0,0,129.09,3,3,7,0,7,2.33,34.13,36,66.4,,
2024-04-11,TRUE,417.05,14.1,0,402.95,69.02,0,0,471.97,9,9,22,0,22,2.44,44.77,121.75,281.2,,
2024-04-12,FALSE,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,,0,,
2024-04-12,TRUE,2509,2170.5,0,338.5,38.76,0,0,377.26,13,7,203,1,202,15.62,26.04,773.43,-434.93,,
2024-04-13,FALSE,108,3.45,0,104.55,25.7,0,0,130.25,3,3,6,0,6,2,34.85,49.41,55.14,,
2024-04-13,TRUE,277,13.2,0,263.8,55.78,0,0,319.58,6,6,16,0,16,2.67,43.97,157.89,105.91,,
2024-04-14,FALSE,656.5,7.2,0,649.3,11.93,0,0,661.23,26,3,26,0,26,1,24.97,26.88,622.42,,
2024-04-14,TRUE,122,0,0,122,16.55,0,0,138.55,2,2,5,0,5,2.5,61,31.04,90.96,,
2024-04-15,FALSE,269.5,5.5,0,264,44.94,0,0,308.94,6,6,14,0,14,2.33,44,59.04,204.96,,
2024-04-15,TRUE,519.8,0,77.4,442.4,93.45,0,0,535.85,15,15,37,6,31,2.47,34.65,35.07,407.33,,
2024-04-16,FALSE,52.5,5.25,0,47.25,7.47,0,0,54.72,1,1,4,0,4,4,47.25,12.09,35.16,,
2024-04-16,TRUE,492,14.87,0,477.13,78.11,0,0,555.24,12,12,33,0,33,2.75,39.76,124.86,352.27,,
2024-04-17,FALSE,282,30.75,0,251.25,36.3,0,0,287.55,5,5,16,0,16,3.2,50.25,106.84,144.41,,
2024-04-17,TRUE,566.3,37.26,0,529.04,50.71,0,0,579.75,7,7,36,0,36,5.14,75.58,194.89,334.15,,
2024-04-18,FALSE,322,159.1,0,162.9,29.49,0,0,192.39,7,7,21,1,20,3,23.27,144.94,17.96,,
2024-04-18,TRUE,271.25,6,0,265.25,58.19,0,0,323.44,9,9,15,0,15,1.67,29.47,67.57,197.68,,
2024-04-19,FALSE,125,125,0,0,0,0,0,0,4,4,11,1,10,2.75,0,40.64,-40.64,,
2024-04-19,TRUE,96,0,0,96,14.83,0,0,110.83,3,3,6,0,6,2,32,75.42,20.58,,
2024-04-20,FALSE,496,39.9,0,456.1,63.99,0,0,520.09,8,8,26,0,26,3.25,57.01,275.33,180.77,,
2024-04-20,TRUE,622.5,58.38,0,564.12,78.52,0,0,642.64,9,9,35,0,35,3.89,62.68,91.7,472.42,,
2024-04-21,FALSE,153,23.3,0,129.7,26.98,0,0,156.68,3,3,6,0,6,2,43.23,44.53,85.17,,
